ig_id,profile_img,Freq_Day_post,image_sum_comment,image_sum_like_view,image_mean_comment,image_mean_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,video_sum_comment,video_sum_like_view,no_of_hashtag,no_of_content_words,no_of_emoji,no_of_post_alt_words,profile_img_array,image_html_link,image_html_link,Added_HK_IG,political_words,Hong_Kong_words,Food_words,Beauty_words,Sport_words,Travel_words,Music_words,Education_words,Art_words,Acting_words
choisaaaa,scrap_web_details_image/choisaaaa_profile.png,0.0,,,,,53.0,11400.0,53.0,11400.0,53.0,11400.0,0.0,28.0,0.0,139.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA07EC38AC0>,"<img src=""scrap_web_details_image/choisaaaa_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/choisaaaa_profile.png"" width=""60"" >",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
choy_ian,scrap_web_details_image/choy_ian_profile.png,3.461527777777777,105.0,3455.0,4.565217391304348,150.2173913043478,39.0,4430.0,39.0,4430.0,39.0,4430.0,38.0,6640.0,47.0,7613.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EE50>,"<img src=""scrap_web_details_image/choy_ian_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/choy_ian_profile.png"" width=""60"" >",4,0.0,7.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0
christineng,scrap_web_details_image/christineng_profile.png,0.0,,,,,6.0,1083.0,6.0,1083.0,6.0,1083.0,0.0,149.0,7.0,161.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DAC0>,"<img src=""scrap_web_details_image/christineng_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/christineng_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christylaiii,scrap_web_details_image/christylaiii_profile.png,0.0,,,,,48.0,751.0,48.0,751.0,48.0,751.0,1.0,385.0,11.0,349.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811654F0>,"<img src=""scrap_web_details_image/christylaiii_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/christylaiii_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chufune,scrap_web_details_image/chufune_profile.png,0.0,,,,,18.0,1311.0,18.0,1311.0,18.0,1311.0,13.0,929.0,14.0,188.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EC40>,"<img src=""scrap_web_details_image/chufune_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/chufune_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chuihammer,scrap_web_details_image/chuihammer_profile.png,0.0,,,,,2633.0,2129000.0,2633.0,2129000.0,2633.0,2129000.0,1.0,113.0,0.0,194.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DC70>,"<img src=""scrap_web_details_image/chuihammer_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/chuihammer_profile.png"" width=""60"" >",2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chungkayanlinda,scrap_web_details_image/chungkayanlinda_profile.png,4.625,10614.0,850000.0,558.6315789473684,44736.84210526316,2.0,1188.0,2.0,1188.0,2.0,1188.0,34.0,10458.0,83.0,10029.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08114DF40>,"<img src=""scrap_web_details_image/chungkayanlinda_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/chungkayanlinda_profile.png"" width=""60"" >",0,0.0,3.0,1.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0
chungshersher,scrap_web_details_image/chungshersher_profile.png,0.0,,,,,4.0,922.0,4.0,922.0,4.0,922.0,0.0,126.0,4.0,290.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D640>,"<img src=""scrap_web_details_image/chungshersher_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/chungshersher_profile.png"" width=""60"" >",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciao_kitchen,scrap_web_details_image/ciao_kitchen_profile.png,2.307685185185185,998.0,56053.0,38.38461538461539,2155.8846153846152,,,,,,,24.0,22282.0,103.0,11676.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0812761F0>,"<img src=""scrap_web_details_image/ciao_kitchen_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ciao_kitchen_profile.png"" width=""60"" >",0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,3.0
cissy.pastel,scrap_web_details_image/cissy.pastel_profile.png,0.0,,,,,81.0,7716.0,81.0,7716.0,81.0,7716.0,6.0,860.0,15.0,862.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EC10>,"<img src=""scrap_web_details_image/cissy.pastel_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cissy.pastel_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city_sketch,scrap_web_details_image/city_sketch_profile.png,0.0,,,,,18.0,690.0,18.0,690.0,18.0,690.0,0.0,120.0,0.0,163.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117E4F0>,"<img src=""scrap_web_details_image/city_sketch_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/city_sketch_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ck.u.chin,scrap_web_details_image/ck.u.chin_profile.png,0.0,,,,,7.0,783.0,7.0,783.0,7.0,783.0,0.0,226.0,12.0,230.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811748E0>,"<img src=""scrap_web_details_image/ck.u.chin_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ck.u.chin_profile.png"" width=""60"" >",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clau_slimes,scrap_web_details_image/clau_slimes_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117E220>,"<img src=""scrap_web_details_image/clau_slimes_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/clau_slimes_profile.png"" width=""60"" >",0,,,,,,,,,,
claudiepierlot,scrap_web_details_image/claudiepierlot_profile.png,1.0384606481481482,352.0,95762.0,13.538461538461538,3683.153846153846,,,,,,,52.0,9548.0,4.0,7738.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276DC0>,"<img src=""scrap_web_details_image/claudiepierlot_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/claudiepierlot_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clubmonaco,scrap_web_details_image/clubmonaco_profile.png,1.9615277777777775,54.0,14821.0,2.076923076923077,570.0384615384615,,,,,,,0.0,5543.0,1.0,4300.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284580>,"<img src=""scrap_web_details_image/clubmonaco_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/clubmonaco_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee89921,scrap_web_details_image/coffee89921_profile.png,0.0,,,,,12.0,184.0,12.0,184.0,12.0,184.0,0.0,454.0,2.0,200.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08114DE80>,"<img src=""scrap_web_details_image/coffee89921_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/coffee89921_profile.png"" width=""60"" >",11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
coffeecmakeup,scrap_web_details_image/coffeecmakeup_profile.png,4.266666666666667,6.0,151.0,0.4285714285714285,10.785714285714286,6.0,2128.0,6.0,2128.0,6.0,2128.0,315.0,10214.0,27.0,5704.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127C1C0>,"<img src=""scrap_web_details_image/coffeecmakeup_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/coffeecmakeup_profile.png"" width=""60"" >",0,0.0,12.0,13.0,208.0,0.0,0.0,0.0,4.0,0.0,0.0
cookingsiulam,scrap_web_details_image/cookingsiulam_profile.png,0.5384606481481482,0.0,15.0,0.0,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,109.0,15703.0,86.0,11000.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165610>,"<img src=""scrap_web_details_image/cookingsiulam_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cookingsiulam_profile.png"" width=""60"" >",0,0.0,151.0,37.0,0.0,0.0,47.0,26.0,53.0,0.0,0.0
cosstores,scrap_web_details_image/cosstores_profile.png,0.5,669.0,163322.0,25.73076923076923,6281.615384615385,,,,,,,2.0,9107.0,0.0,5911.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284670>,"<img src=""scrap_web_details_image/cosstores_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cosstores_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
cotton_ckc,scrap_web_details_image/cotton_ckc_profile.png,7.5,944.0,203000.0,94.4,20300.0,1.0,1397.0,1.0,1397.0,1.0,1397.0,23.0,5320.0,77.0,2632.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EA90>,"<img src=""scrap_web_details_image/cotton_ckc_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cotton_ckc_profile.png"" width=""60"" >",8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
craigdavid,scrap_web_details_image/craigdavid_profile.png,2.538460648148148,2573.0,52404.0,321.625,6550.5,242.0,4413.0,242.0,4413.0,242.0,4413.0,37.0,10158.0,108.0,7526.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284790>,"<img src=""scrap_web_details_image/craigdavid_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/craigdavid_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
crayon_shinchan1314,scrap_web_details_image/crayon_shinchan1314_profile.png,2.3846064814814816,5459.0,545738.0,209.96153846153845,20989.92307692308,,,,,,,123.0,7281.0,16.0,7022.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115E0A0>,"<img src=""scrap_web_details_image/crayon_shinchan1314_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/crayon_shinchan1314_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crownhill_shoes,scrap_web_details_image/crownhill_shoes_profile.png,0.0,,,,,0.0,4078.0,0.0,4078.0,0.0,4078.0,0.0,364.0,4.0,146.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276070>,"<img src=""scrap_web_details_image/crownhill_shoes_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/crownhill_shoes_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crystalfyy,scrap_web_details_image/crystalfyy_profile.png,0.0,,,,,3.0,1939.0,3.0,1939.0,3.0,1939.0,0.0,252.0,0.0,267.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153370>,"<img src=""scrap_web_details_image/crystalfyy_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/crystalfyy_profile.png"" width=""60"" >",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crystalyannie,scrap_web_details_image/crystalyannie_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276A90>,"<img src=""scrap_web_details_image/crystalyannie_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/crystalyannie_profile.png"" width=""60"" >",3,,,,,,,,,,
cusonlo,scrap_web_details_image/cusonlo_profile.png,0.0,,,,,1.0,37.0,1.0,37.0,1.0,37.0,1.0,35.0,0.0,314.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811650A0>,"<img src=""scrap_web_details_image/cusonlo_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cusonlo_profile.png"" width=""60"" >",17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cynthia.m.s,scrap_web_details_image/cynthia.m.s_profile.png,0.3076851851851852,3.0,4381.0,0.1304347826086956,190.4782608695652,81.0,104851.0,81.0,104851.0,81.0,104851.0,0.0,10043.0,229.0,8787.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117ED90>,"<img src=""scrap_web_details_image/cynthia.m.s_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/cynthia.m.s_profile.png"" width=""60"" >",0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
danielwellington,scrap_web_details_image/danielwellington_profile.png,0.9615277777777778,3623.0,135679.0,144.92,5427.16,122.0,2105.0,122.0,2105.0,122.0,2105.0,0.0,5060.0,0.0,4931.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CEE0>,"<img src=""scrap_web_details_image/danielwellington_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/danielwellington_profile.png"" width=""60"" >",0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dannysummermusic,scrap_web_details_image/dannysummermusic_profile.png,18.25,24.0,506.0,8.0,168.66666666666666,4907.0,3021000.0,4907.0,3021000.0,4907.0,3021000.0,3.0,295.0,4.0,630.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CAF0>,"<img src=""scrap_web_details_image/dannysummermusic_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dannysummermusic_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davezhangphoto,scrap_web_details_image/davezhangphoto_profile.png,9.666666666666666,29.0,440.0,3.2222222222222223,48.888888888888886,,,,,,,232.0,6889.0,0.0,2861.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276D00>,"<img src=""scrap_web_details_image/davezhangphoto_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/davezhangphoto_profile.png"" width=""60"" >",0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
davidbeckham,scrap_web_details_image/davidbeckham_profile.png,1.6923032407407408,59210.0,20062000.0,3116.315789473684,1055894.7368421052,3.0,945.0,3.0,945.0,3.0,945.0,9.0,8454.0,20.0,7587.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CB50>,"<img src=""scrap_web_details_image/davidbeckham_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/davidbeckham_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
dearjaneofficial,scrap_web_details_image/dearjaneofficial_profile.png,6.3125,549.0,70382.0,49.90909090909091,6398.363636363636,2.0,3650.0,2.0,3650.0,2.0,3650.0,30.0,7670.0,29.0,7173.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081174A00>,"<img src=""scrap_web_details_image/dearjaneofficial_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dearjaneofficial_profile.png"" width=""60"" >",3,0.0,0.0,0.0,4.0,0.0,0.0,33.0,1.0,0.0,8.0
demosistohkofficial,scrap_web_details_image/demosistohkofficial_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DCA0>,"<img src=""scrap_web_details_image/demosistohkofficial_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/demosistohkofficial_profile.png"" width=""60"" >",0,,,,,,,,,,
di2da,scrap_web_details_image/di2da_profile.png,0.0,,,,,40.0,8112.0,40.0,8112.0,40.0,8112.0,0.0,12.0,2.0,6.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116DA60>,"<img src=""scrap_web_details_image/di2da_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/di2da_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimdim1125,scrap_web_details_image/dimdim1125_profile.png,2.5769212962962964,389.0,20296.0,14.961538461538462,780.6153846153846,,,,,,,459.0,15990.0,46.0,8322.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117E6A0>,"<img src=""scrap_web_details_image/dimdim1125_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dimdim1125_profile.png"" width=""60"" >",18,0.0,7.0,0.0,3.0,54.0,23.0,2.0,6.0,41.0,40.0
ding_2,scrap_web_details_image/ding_2_profile.png,0.0,,,,,33.0,4097.0,33.0,4097.0,33.0,4097.0,0.0,87.0,0.0,128.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153970>,"<img src=""scrap_web_details_image/ding_2_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/ding_2_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dino_hira,scrap_web_details_image/dino_hira_profile.png,0.0,,,,,98.0,47704.0,98.0,47704.0,98.0,47704.0,0.0,731.0,9.0,162.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811656A0>,"<img src=""scrap_web_details_image/dino_hira_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dino_hira_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discoverhongkong,scrap_web_details_image/discoverhongkong_profile.png,0.0,,,,,1021.0,205000.0,1021.0,205000.0,1021.0,205000.0,1.0,751.0,3.0,149.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153220>,"<img src=""scrap_web_details_image/discoverhongkong_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/discoverhongkong_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dkanipe,scrap_web_details_image/dkanipe_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EAF0>,"<img src=""scrap_web_details_image/dkanipe_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dkanipe_profile.png"" width=""60"" >",0,,,,,,,,,,
do_do_cheng,scrap_web_details_image/do_do_cheng_profile.png,3.1153819444444446,2968.0,100520.0,164.88888888888889,5584.444444444444,23.0,2417.0,23.0,2417.0,23.0,2417.0,12.0,2238.0,0.0,3092.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811538B0>,"<img src=""scrap_web_details_image/do_do_cheng_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/do_do_cheng_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0
dorothyma,scrap_web_details_image/dorothyma_profile.png,0.0,,,,,6.0,1714.0,6.0,1714.0,6.0,1714.0,14.0,449.0,0.0,449.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276310>,"<img src=""scrap_web_details_image/dorothyma_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dorothyma_profile.png"" width=""60"" >",5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dou6lei5syu1,scrap_web_details_image/dou6lei5syu1_profile.png,0.0,,,,,111.0,21500.0,111.0,21500.0,111.0,21500.0,5.0,145.0,0.0,145.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D6D0>,"<img src=""scrap_web_details_image/dou6lei5syu1_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dou6lei5syu1_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dr_maret_lee,scrap_web_details_image/dr_maret_lee_profile.png,0.0,,,,,54.0,7025.0,54.0,7025.0,54.0,7025.0,0.0,21.0,1.0,234.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153700>,"<img src=""scrap_web_details_image/dr_maret_lee_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dr_maret_lee_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drcarenyoga,scrap_web_details_image/drcarenyoga_profile.png,4.230763888888889,37.0,642.0,1.4230769230769231,24.692307692307693,,,,,,,299.0,23796.0,238.0,13819.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CF70>,"<img src=""scrap_web_details_image/drcarenyoga_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/drcarenyoga_profile.png"" width=""60"" >",0,0.0,3.0,0.0,0.0,224.0,0.0,0.0,47.0,0.0,0.0
dreamsmountain_,scrap_web_details_image/dreamsmountain__profile.png,0.0,,,,,12.0,53000.0,12.0,53000.0,12.0,53000.0,1.0,540.0,12.0,169.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08116D700>,"<img src=""scrap_web_details_image/dreamsmountain__profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dreamsmountain__profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dreamy_touch,scrap_web_details_image/dreamy_touch_profile.png,6.1,62.0,2632.0,6.888888888888889,292.44444444444446,12.0,260.0,12.0,260.0,12.0,260.0,1.0,5124.0,41.0,1829.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08127CE20>,"<img src=""scrap_web_details_image/dreamy_touch_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dreamy_touch_profile.png"" width=""60"" >",0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0
drwilliamlo,scrap_web_details_image/drwilliamlo_profile.png,0.0,,,,,33.0,44129.0,33.0,44129.0,33.0,44129.0,3.0,766.0,0.0,171.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276880>,"<img src=""scrap_web_details_image/drwilliamlo_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/drwilliamlo_profile.png"" width=""60"" >",0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
dsl_hongkong,scrap_web_details_image/dsl_hongkong_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EF10>,"<img src=""scrap_web_details_image/dsl_hongkong_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dsl_hongkong_profile.png"" width=""60"" >",0,,,,,,,,,,
dude_clothing,scrap_web_details_image/dude_clothing_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276790>,"<img src=""scrap_web_details_image/dude_clothing_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dude_clothing_profile.png"" width=""60"" >",0,,,,,,,,,,
dulahoop12,scrap_web_details_image/dulahoop12_profile.png,0.0,,,,,3.0,510.0,3.0,510.0,3.0,510.0,0.0,1245.0,6.0,185.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EC10>,"<img src=""scrap_web_details_image/dulahoop12_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dulahoop12_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
dydybbbb,scrap_web_details_image/dydybbbb_profile.png,0.7307638888888889,178.0,8233.0,6.846153846153846,316.65384615384613,,,,,,,45.0,4227.0,20.0,5955.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081276E20>,"<img src=""scrap_web_details_image/dydybbbb_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/dydybbbb_profile.png"" width=""60"" >",0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0
easttouchhk,scrap_web_details_image/easttouchhk_profile.png,0.0,,,,,48.0,15550.0,48.0,15550.0,48.0,15550.0,0.0,93.0,0.0,93.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081165AC0>,"<img src=""scrap_web_details_image/easttouchhk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/easttouchhk_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eat_travel_weekly,scrap_web_details_image/eat_travel_weekly_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08115EA00>,"<img src=""scrap_web_details_image/eat_travel_weekly_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/eat_travel_weekly_profile.png"" width=""60"" >",0,,,,,,,,,,
echodancehk,scrap_web_details_image/echodancehk_profile.png,0.0,,,,,,,,,,,,,,,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284B80>,"<img src=""scrap_web_details_image/echodancehk_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/echodancehk_profile.png"" width=""60"" >",0,,,,,,,,,,
edanlui,scrap_web_details_image/edanlui_profile.png,2.0769212962962964,46322.0,1641000.0,2316.1,82050.0,1465.0,1269000.0,1465.0,1269000.0,1465.0,1269000.0,19.0,7927.0,111.0,6981.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA0811531F0>,"<img src=""scrap_web_details_image/edanlui_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/edanlui_profile.png"" width=""60"" >",0,0.0,2.0,0.0,1.0,0.0,1.0,17.0,7.0,0.0,1.0
eddie_ilovefood777,scrap_web_details_image/eddie_ilovefood777_profile.png,0.0,,,,,30.0,1973.0,30.0,1973.0,30.0,1973.0,5.0,389.0,2.0,389.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117EDC0>,"<img src=""scrap_web_details_image/eddie_ilovefood777_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/eddie_ilovefood777_profile.png"" width=""60"" >",0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
educational_innovations,scrap_web_details_image/educational_innovations_profile.png,0.0,,,,,8.0,1323.0,8.0,1323.0,8.0,1323.0,7.0,683.0,0.0,693.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA08117ED60>,"<img src=""scrap_web_details_image/educational_innovations_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/educational_innovations_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
edwardmusicproduction,scrap_web_details_image/edwardmusicproduction_profile.png,3.913032407407408,350.0,6655.0,26.923076923076923,511.9230769230769,4.0,1265.0,4.0,1265.0,4.0,1265.0,54.0,22464.0,27.0,19555.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081284E80>,"<img src=""scrap_web_details_image/edwardmusicproduction_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/edwardmusicproduction_profile.png"" width=""60"" >",0,0.0,16.0,0.0,0.0,0.0,1.0,97.0,6.0,0.0,12.0
edwinsiu,scrap_web_details_image/edwinsiu_profile.png,5.25,1232.0,138347.0,102.66666666666669,11528.916666666666,5.0,2276.0,5.0,2276.0,5.0,2276.0,1.0,1734.0,7.0,2230.0,<PIL.Image.Image image mode=RGB size=100x100 at 0x7FA081153340>,"<img src=""scrap_web_details_image/edwinsiu_profile.png"" width=""60"" >","<img src=""scrap_web_details_image/edwinsiu_profile.png"" width=""60"" >",0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
