,ig_id,name,ig_description,no_of_post,no_of_follower,no_of_following,profile_img
188,oneone.siu,𝒪𝓃𝑒 𝒪𝓃𝑒🐶わんわん,"['電影角色', '#tokyo 🇯🇵 2022/4 - 2023/6', '𝐵𝑒𝒶𝓊𝓉𝓎 | 𝐹𝒶𝓈𝒽𝒾𝑜𝓃 | 𝒫𝑜𝓇𝓉𝓇𝒶𝒾𝓉', '𝒯𝒽𝒾𝓈 𝒾𝓈 𝓂𝓎 𝑜𝓃𝓁𝓎 𝒶𝒸𝒸𝑜𝓊𝓃𝓉.']",714,24000.0,739,scrap_web_details_image/oneone.siu_profile.png
189,iamchoiching,蔡紫晴,"['音樂家／樂團', 'Singer song writer ｜creative', 'My band @carrier_hk Job +85296211615', '#肥菜 #蔡紫晴 乳名 #小菌 #紫CHing #獨立歌手 #independence', 'New single《如煙》🔻', 'youtu.be/2dYRwqm7VQ4', 'mikeeeee___ 在追蹤']",3066,14000.0,1833,scrap_web_details_image/iamchoiching_profile.png
190,brianyuen_chico,Brian Yuen 阮頌揚,"['演員', '🎥全民造星第二季十強', '🎬《我們的6E班》/馬小崗', '🎓 BSSc/Psy/1st Hon/CUHK', 'boris1027_ 和 keung_show 都在追蹤']",893,12000.0,1501,scrap_web_details_image/brianyuen_chico_profile.png
191,vvyeo,楊秀惠,"['企業家', 'Founder of @vivienyeobeautystore @vyacademyonline', 'info@vivipowerholding.com', 'FB ：楊秀惠 Vivien Yeo', 'YouTube：楊秀惠VY創業分享頻道', 'www.vybeautystore.com', 'coffee89921 、 hubertwu 和 tosiukiu 都在追蹤']",1312,433000.0,565,scrap_web_details_image/vvyeo_profile.png
192,minchen333,林明禎,"['遊戲玩家', '工作唯一對接聯繫❤️', '香港 台灣 大馬 👉🏻 Lisa 👈🏻', 'goldenchen333@gmail.com', 'Line: goldenchen333', 'WhatsApp: +85296093727', 'www.facebook.com/minchen333', 'ddedhk 、 53yfp 、 hanatam 和其他 12 人都在追蹤']",530,1272000.0,581,scrap_web_details_image/minchen333_profile.png
193,lovestoryhk,紙情 | 互動式兩性專欄,"['作家', '90後智障男朋友 𝐗 懶醒女朋友🇭🇰', '．．', '𝐉𝐎𝐁 𝐂𝐎𝐍𝐓𝐀𝐂𝐓：', '@lovestoryhk', '@lovestoryhk_lifestyle', '𝐅𝐁 𝐏𝐀𝐆𝐄：紙情𝐋𝐎𝐕𝐄𝐒𝐓𝐎𝐑𝐘𝐇𝐊', '散文集《有些愛 錯過了就回不去》《有些愛 你以為堅不可摧》《有些愛 總會痛過才明白》🆕', '👇🏻正於網上發售👇🏻', 'lwoaviepro.com/product/%e3%80%8a%e6%9c%89%e4%ba%9b%e6%84%9b-%e7%b8%bd%e8%a6%81%e7%97%9b%e9%81%8e%e6%89%8d%e6%98%8e%e7%99%bd%e3%80%8b', 'smilingboris 在追蹤']",1036,81000.0,614,scrap_web_details_image/lovestoryhk_profile.png
194,janetchowkawai,周家蔚☦︎︎ 𝙹𝚊𝚗𝚎𝚝 𝙲𝚑𝚘𝚠,"['👨\u200d👩\u200d👦\u200d👦 #tjhung#jthung', '📧Work email: workhardwithjc@gmail.com', '💆🏻\u200d♀️Organic skincare shop IG: @lovingjbazaar', '📲Shop WhatsApp: 69187767', '🛒Shop Website:', 'lovingjc.com', 'coffee89921 在追蹤']",2550,112000.0,1479,scrap_web_details_image/janetchowkawai_profile.png
195,myl31666,Sausange Mak,"['👇🏻我女神', 'instagram.com/phoebetsoi?utm_source=ig_profile_share&igshid=4yndica93lpz']",310,1440.0,466,scrap_web_details_image/myl31666_profile.png
196,kyo1122,Song hyekyo,"['-kyo-', 'emiwong_ 和 tosiukiu 都在追蹤']",174,12920000.0,164,scrap_web_details_image/kyo1122_profile.png
197,tinyuilee,田 蕊妮,"['公眾人物', '工作聯絡：', 'T: (852) 57200729', 'www.facebook.com/startatthemoment', 'louisa_mak 、 sammy903 、 sabrinapingping_ 和其他 7 人都在追蹤']",1904,548000.0,381,scrap_web_details_image/tinyuilee_profile.png
198,kaikaiko,柯震東 KAI 가진동,"['LIFE SIZE TOY 🌏🌎🌍', 'hubertwu 在追蹤']",213,3654000.0,319,scrap_web_details_image/kaikaiko_profile.png
199,polocyl,❶⓿.⓿❺.❶❼-🅳🅰🅽-🅰 🐧,"['時裝模特兒', 'Korea. kidsmodel', 'Jang Dan - A', '-엄마가 관리하는 계정입니다-', '사칭사절 / 불펌금지']",2644,27000.0,704,scrap_web_details_image/polocyl_profile.png
200,showoffhk,ShowOff音樂平台,"['「Zita Tse 謝霈臻．唱你想聽2️⃣週年演唱會」」', '門票現正公開發售‼️👇🏼🥳❤️', 'pay.showoff.hk/zita']",768,1213.0,506,scrap_web_details_image/showoffhk_profile.png
201,bread_bulubulu,Breadpoon's🍞,"['烘培坊', 'animator | illustrator | designer', '@very.surprise 非實力派！合體！', '@breads_bakery 👩🏻\u200d🎨🎨 👈🏻按此參觀包包的畫展', '📮DM/Email: breadpoonbulubulu@gmail.com', '👇🏻響個新朵💥💥我哋係非實力派🕺🚀', 'youtube.com/channel/UCvHG_XSYpNkTC0NuNSue30g', 'keung_show 在追蹤']",305,34000.0,806,scrap_web_details_image/bread_bulubulu_profile.png
202,foodki.may,follow @kikiandmaymay,[],0,5.0,1,scrap_web_details_image/foodki.may_profile.png
203,chefsroll,"Chef's Roll, Inc.","['社群', '🔪#ROLLWITHUS', '🌎Worldwide Chef Network', '🎥Original + Shared Content', '🎙Partnered with “The Recipe Podcast”', 'chefsroll.com/linkinbio']",16000,905000.0,1797,scrap_web_details_image/chefsroll_profile.png
204,graceip,Graceip 葉佩雯,"['工作請聯絡 文文 work related pls contact manman ☎️63459437 🚨Welcome to my official Instagram.', 'Singer/Actress', '👩🏼\u200d🍳 @gracecancoook', 'youtu.be/zSBEsV9S-ZI', 'deegor_hkwa 在追蹤']",7417,51000.0,4452,scrap_web_details_image/graceip_profile.png
205,willpan23,Will Pan,"['2019 ....', 'www.youtube.com/user/WillPan4U', 'keung_show 在追蹤']",2782,1335000.0,280,scrap_web_details_image/willpan23_profile.png
206,sheryl_leung,Leung Sheryl,"['公眾人物', 'Hi this is Sheryl', 'I like music, architecture, fashion, travel and eating', 'I am in love with my life!', 'DM me for work']",433,68000.0,385,scrap_web_details_image/sheryl_leung_profile.png
207,tingho.zayn,TING HO 何駿廷,"['表演藝術', '- Music Producer -', '| Singing & Dancing |', '🎼🎤🎷🎹🎸🥁🕺🏻', '#全民造星 @loserreborn', 'youtube.com/c/TingHo', 'hinscheung 、 cotton_ckc 、 keung_show 和其他 2 人都在追蹤']",203,6013.0,902,scrap_web_details_image/tingho.zayn_profile.png
208,tyreseakf,TYRESE AU,"['音樂家／樂團', '🌵Indoor/ Outdoor Plants @suntimeshk', 'suntimes.shop', 'pumpkinjenn 和 53yfp 都在追蹤']",1094,31000.0,238,scrap_web_details_image/tyreseakf_profile.png
209,mensunohk,men's uno HK,"[""Official Instagram account of men's uno HK"", '#mensunohk', 'linktr.ee/mensunohk', 'sammy903 和 keung_show 都在追蹤']",6570,37000.0,101,scrap_web_details_image/mensunohk_profile.png
210,misslilyho,何天兒 Lily Ho,"['藝術家', '𝙒𝙤𝙧𝙠 𝙘𝙤𝙣𝙩𝙖𝙘𝙩：', 'family@gilicious.co', '·', '🦄 Fᴏʟʟᴏᴡ ᴍᴇ ᴏɴ 💕', 'Fʙ Pᴀɢᴇ: 何天兒 ʟɪʟʏ', 'YᴏᴜTᴜʙᴇ ᴄʜᴀɴɴᴇʟ: ʟɪʟʏ ʜᴏ', 'youtu.be/stEU8RffG38']",565,43000.0,273,scrap_web_details_image/misslilyho_profile.png
211,yancychu,Yancy Chu 朱汶欣,"['公眾人物', 'Counting down to our next adventure 🏖', '#travelwithyancy #tonyandyancy #BabyTYWai', '💌 yancychu@Gmail.com', 'facebook.com/yancychupage']",2543,10000.0,647,scrap_web_details_image/yancychu_profile.png
212,checkcheckcin,CheckCheckCin,"['新聞媒體網站', '健康是一種習慣', 'Make healthy living a habit', '℡ 2833 5518 / 9347 4374 (WhatsApp)', '上環 · 銅鑼灣 · 尖沙咀誠品 · 太古誠品', '📹：', 'http://www.youtube.com/checkcheckcin', 'www.checkcheckcin.com', 'tosiukiu 在追蹤']",2705,165000.0,2,scrap_web_details_image/checkcheckcin_profile.png
213,torontofoodvibes,"《Nerine Huang》Toronto, Markham she/her","['個人部落格', '⛥Always on the lookout to discover new hidden food gems in Toronto', '[Contact 💌: torontofoodvibes@gmail.com]', 'Photoholic of food, lifestyle', '📸:Samsung S9+']",1571,6799.0,4275,scrap_web_details_image/torontofoodvibes_profile.png
214,coffeecmakeup,Coffeec.makeup,"['美容、美妝與個人護理', '❤️提供新娘，宴會，媒體化妝等工作', '🍄誠接香港，澳門及海外工作,歡迎査詢', 'www.facebook.com/coffeec.makeup']",513,1056.0,499,scrap_web_details_image/coffeecmakeup_profile.png
215,bmb_bakery,Торты на заказ от Марии Бонд,"['🖤 От 5 кг, от 3000/кг', '🖤 Свадебная кондитерская', '🖤 Уникальные эскизы', '🖤 12 начинок', '🖤 Школа @bmb_school', '🖤 Cooking chef team', 'Бронь свадебного сезона ‘22 🖤', 'taplink.cc/bmb_bakery']",2028,95000.0,474,scrap_web_details_image/bmb_bakery_profile.png
216,eat_travel_weekly,HK Food Media《飲食男女》,"['新聞媒體網站', '香港最愛食的飲食媒體 #飲食男女', '🥗🥘🍝🍜🥟🍱🍣🍛🍲🍕🥪', '👇🏻 查看最新飲食資訊 👇🏻', 'etw.hk']",6316,172000.0,57,scrap_web_details_image/eat_travel_weekly_profile.png
217,ellagross,Ella G. 🦋,"['THEBLACKLABEL', 'business@theblacklabel.com', 'Monster Talent Management', 'crisisrelief.un.org/ella-for-ukraine', 'coffee89921 、 hinscheung 和 tosiukiu 都在追蹤']",804,4063000.0,139,scrap_web_details_image/ellagross_profile.png
218,thewavehk,The Wave | Coworking Space,"['社區組織', '𝙗𝙚𝙮𝙤𝙣𝙙 𝙡𝙞𝙢𝙞𝙩𝙨. 在有限空間裡創造無限可能', '\u2061', '📍觀塘', 'linktr.ee/thewavehk']",1288,2022.0,215,scrap_web_details_image/thewavehk_profile.png
219,chloeleongg_,Chloe Leong🕊,"['MY 🇲🇾', 'Mother of three @rox.alyssa 👨\u200d👩\u200d👧\u200d👧']",3027,298000.0,864,scrap_web_details_image/chloeleongg__profile.png
220,official.angelahang,𝑨𝒏𝒈𝒆𝒍𝒂 𝑯𝒂𝒏𝒈,"['Founder of @studiodanz', '#angelahang #angelahangblog', '#MoveBeyond ⇊', 'youtu.be/F1kqOo71eKQ', 'hinscheung 和 ansonlht 都在追蹤']",114,2078.0,703,scrap_web_details_image/official.angelahang_profile.png
221,haiirplay,HAIR,"[""The best hair tips you'll found on instagram"", '📧 mkpblog.shoutouts@gmail.com', 'rwbiz', 'womengloowup.com/products/dreamcurler-one']",1264,2490000.0,159,scrap_web_details_image/haiirplay_profile.png
222,dydybbbb,San San,"['Love running and eating🍳', 'FM: 3:37', 'HM: 1:45', '10K: 46:49', '#runners #hongkonger #hiker', '#跑步女生 #跑步 #行山', 'm.facebook.com/dydybbbb']",4194,7682.0,689,scrap_web_details_image/dydybbbb_profile.png
223,dimdim1125,點點dimdim 楊民翠 ·粵語·香港美食旅行,"['影片創作者', '🔴浪live直播🔍YT點點🆔1153803', '#youtuber #TravelBlogger #MC#CantoneseTutor', 'ViuTV旅遊飲食節目 《地球友善餐廳》、《2蚊遊2》《2蚊遊3》主持', '⭐yangmincui@gmail.com', '🔴Youtube🔍點點Dimdim', 'youtu.be/YILvPCNPkP0', 'boris1027_ 、 53yfp 、 sabrinapingping_ 和其他 1 人都在追蹤']",1743,57000.0,1130,scrap_web_details_image/dimdim1125_profile.png
224,she.c0m,she.com,"['媒體', 'we create what she desires', '💄 @shecritiques', '💃🏻 @shegohk', '👰🏻 @shebrideshk', '🤱🏻 @shemomhk', 'linkin.bio/she-c0m', 'hinscheung 在追蹤']",11000,106000.0,197,scrap_web_details_image/she.c0m_profile.png
225,bakedindulgence,Baked Indulgence,"['🍪Hong Kong', '📍Find us @bluebottlecoffeehongkong @knockbox', '🥯 @harakakohk', '🍩 Order online', 'www.bakedindulgence.com']",146,14000.0,102,scrap_web_details_image/bakedindulgence_profile.png
226,sis_official_ig,SiS Official Fans Club,"['2014年新晉組合SIS樂印姊妹，姐姐駱胤樺，妹妹駱胤鳴。', 'SiS樂印姊妹[什麼都可]MV-微電影《不可抗力》主題曲🎬🎼', 'youtu.be/J5inYyhBSgI']",653,3471.0,12,scrap_web_details_image/sis_official_ig_profile.png
227,nabwork,SNEAKERS 波鞋 is life🪐,"['消費券適用🔥網站會員滿$500免運費🚚', 'Website Order NOW!', '旺角百寶利商業中心11樓', 'Open Daily⚠️ ￼疫情關係改12:30-20:00', '正版正貨2016-2022', '📱www.nabwork.hk', '☎️ 2711-3883', '網站/Whatsapp落單查詢👇🏻', 'linktr.ee/nabwork']",4558,74000.0,22,scrap_web_details_image/nabwork_profile.png
228,vivihk_official,ViVi Hong Kong,"['萬眾期待！日本流行時裝雜誌ViVi 以網上形式回歸香港！我地會每日為大家送上最新最Hit 嘅彩妝、護膚、時裝、生活資訊，快啲Follow ViVi Hong Kong 嘅Facebook 同Instagram 啦～', 'm.facebook.com/ViViHongKong']",793,5519.0,13,scrap_web_details_image/vivihk_official_profile.png
229,oonatashaoo,❣ Natasha Lam,"['公眾人物', '나타샤 ♡', 'Founder @natashatini', '著作《Natasha Lam首爾吃貨生活1、2》', '@DineWithNatasha #TravelWithNatasha❤️', 'natasha_tini@yahoo.com', 'www.facebook.com/missnatashalam']",1676,77000.0,639,scrap_web_details_image/oonatashaoo_profile.png
230,kingyu__,King Yu 景喻,"['🇭🇰𝗗𝗮𝗻𝗰𝗲𝗿 | 𝗖𝗵𝗼𝗿𝗲𝗼𝗴𝗿𝗮𝗽𝗵𝗲𝗿 | 𝗗𝗮𝗻𝗰𝗲 𝗜𝗻𝘀𝘁𝗿𝘂𝗰𝘁𝗼𝗿', '🎓𝗛𝗞𝗔𝗣𝗔 𝗖𝗼𝗻𝘁𝗲𝗺𝗽𝗼𝗿𝗮𝗿𝘆 𝗱𝗮𝗻𝗰𝗲', '🌰𝗗𝗮𝗻𝗰𝗲 𝗰𝗿𝗲𝘄 @chestnuts.chestroll.hk', '📩𝗗𝗠 𝗳𝗼𝗿 𝗖𝗼𝗹𝗹𝗮𝗯𝗼𝗿𝗮𝘁𝗶𝗼𝗻 / 𝗣𝗿𝗶𝘃𝗮𝘁𝗲 𝗰𝗹𝗮𝘀𝘀', 'ansonlht 和 keung_show 都在追蹤']",109,3526.0,1385,scrap_web_details_image/kingyu___profile.png
231,sophiachang,Sophia Chang,"['youtube.com/sophiachang', 'mirasgarden 在追蹤']",652,527000.0,401,scrap_web_details_image/sophiachang_profile.png
232,sumsum_dessert,🙌🏻各口味手工糯米糍惠顧客人十萬位😈,"['只此一家🏡 👁各款產品請到#sumsum出品', '🍪招牌8款口味麥提莎糯米糍', '⛄️雪媚娘👑', '💝人氣芝士杯', '🍡皇牌粒粒糯米糍', '🐙呀姨牌魷魚絲', '✨持有食牌每天新鮮製造', '👑食過番尋味客人超過十萬位', '📞 66011487', '營業時間:年中無休每天12:00-21:00', 'wa.me/85266011487']",7649,59000.0,212,scrap_web_details_image/sumsum_dessert_profile.png
233,wayne_ky,管鋈,"['藝術', '✌🏽', '________________', 'Work enquiries 工作聯絡📩', 'Harry : +(852) 61985518', 'waynekoon29@gmail.com', '________________', '@koonyukfansclub', '________________', 'YouTube', 'youtube.com/channel/UC-4owlHfxIpT-ai42sSfXUQ', 'deegor_hkwa 、 ansonlht 、 keung_show 和其他 1 人都在追蹤']",193,12000.0,1909,scrap_web_details_image/wayne_ky_profile.png
234,chenghao.shih,石承鎬HAO,"['演員', '演員 / 歌手', '🎵 #酸酸的你', '🎬 #你不是一個人', '📺 #正負之間（2022/4/15播出@catchplay+）', '#那一天 #超感應學園', '工作☎️line: adatang2016', '🍋檸檬鎬國際站資訊索取🍋', 'forms.gle/ME41AVmnhueYBMQR8']",231,75000.0,253,scrap_web_details_image/chenghao.shih_profile.png
235,tanya.tintin,Tanya.Tin,"['美妝師', '@touchehk']",720,13000.0,1716,scrap_web_details_image/tanya.tintin_profile.png
236,felicetrips,Felice Trips 3個女生遊記,"['部落客', '三個女生👻柴娃娃 去旅行✈️', '#Youtuber My叔/Anne姐/Mickie米奇', '💌felicegirls@gmail.com', '🎬新片:日本四國自駕遊🚗有《千與千尋》溫泉靚景！🏯', 'youtu.be/8IqATqvOQOs']",873,9277.0,55,scrap_web_details_image/felicetrips_profile.png
237,hkfoodie_lifestyle,HK Food & Lifestyle Blogger😘,"['❤️小寶寶👶', '🔍美食🍝生活📖旅遊✈️分享😜', '🍖去到邊食到邊 直到肚腩大過天', '🍦鍾情甜品😘第2個胃絕對唔係ladies專利', '📧terencewong713@yahoo.com.hk', '😎@hkfoodie_lifestyle', '👇FB page 密密食 • 過癮生活遊記 👇', 'facebook.com/hkfoodie.lifestyle']",1400,31000.0,746,scrap_web_details_image/hkfoodie_lifestyle_profile.png
238,boo_chong,Boo Chong,"['Boochong0109@gmail.com', 'THAT’S CHONG', 'Founder of @thatschong', 'Mamiboo @peekaboostationery']",2323,33000.0,1989,scrap_web_details_image/boo_chong_profile.png
239,mansonvibes,mansonvibes 張進翹,"['音樂家／樂團', 'NEW SONG “ợᵘⓔ𝓢𝕥?๏𝔫𝓼” OUT NOW!❤️\u200d🔥', '𝕃𝕖𝕒𝕣𝕟𝕚𝕟𝕘 𝕥𝕠 𝕓𝕖 𝕒 𝕙𝕦𝕞𝕒𝕟.🖖🏼', '#全民造星3', 'Dumb Youth Artist @hkdumbyouth', 'Job Enquiry: hkdymanagement@gmail.com', 'youtu.be/_oAuIzvCvqY']",537,63000.0,929,scrap_web_details_image/mansonvibes_profile.png
240,elenakongmayyee,江美儀 Elena Kong May Yee,"['演員', '江美儀的個人IG', '與你分享工作和生活上的點滴。', 'Working contact:', '📞鍾小姐 +852 9232-7946', '📧email : info@3001production.com', '#江美儀 #江美人', '-', '全新Youtube Channel🎬👇🏻', 'youtu.be/cXsMfiMpozg']",1988,179000.0,705,scrap_web_details_image/elenakongmayyee_profile.png
241,ahfavslife,A H F A,"['影片創作者', '🪐 𝐹𝑜𝓊𝓃𝒹𝑒𝓇 𝑜𝒻 @in.dustory 🥣', '👰🏻 𝕞𝕒𝕜𝕖𝕦𝕡 𝕒𝕣𝕥𝕚𝕤𝕥 𝕗𝕣𝕠𝕞 @mirsmakeup 💄', '🔻網絡微塵🍂🔻', '📧 ahfamakeup@gmail.com 👈🏻工作聯絡', '🎞👇🏻👇🏻中碼#OOTD', 'youtu.be/gOPn7MyKPnc']",5541,85000.0,691,scrap_web_details_image/ahfavslife_profile.png
242,alysonhau,Alyson Hau 侯嘉明 she/her,"['DJ', 'ℙ𝕣𝕖𝕤𝕖𝕟𝕥𝕖𝕣 & ℙ𝕣𝕠𝕕𝕦𝕔𝕖𝕣 (ℝ𝕋ℍ𝕂)', '𝕄ℂ/ 𝔼𝕧𝕖𝕟𝕥 ℍ𝕠𝕤𝕥', '𝕍𝕠𝕚𝕔𝕖-𝕆𝕧𝕖𝕣 𝕋𝕒𝕝𝕖𝕟𝕥', '𝕣𝕖𝕥𝕪𝕜𝕝𝕖 𝔸𝕞𝕓𝕒𝕤𝕤𝕒𝕕𝕠𝕣', '𝕐𝕠𝕦𝕋𝕦𝕓𝕖 ℂ𝕙𝕒𝕟𝕟𝕖𝕝 ⬇️', 'www.youtube.com/c/AlysonHauDJ']",2164,4041.0,1017,scrap_web_details_image/alysonhau_profile.png
243,greenmonday.david,David Yeung 楊大偉,"['企業家', 'Co-Founder #GreenMonday #OmniFoods #GreenCommon', '🌎 @greenmonday_official', '🌱 @omnifoods.global @omnifoods.HK', '🍴 @green_common', '#MakeChangeHappen', 'www.omnifoods.co']",4195,18000.0,3336,scrap_web_details_image/greenmonday.david_profile.png
244,kerrytachau,𝐊𝐞𝐫𝐫𝐲𝐭𝐚 𝐂𝐡𝐚𝐮,"['藝術家', 'Good vibes only 🦋', '@universalmusichk', 'Collab 📨 toppy.lee@umusic.com', 'New Plug < #RBF > 🧊🧊', 'umhk.lnk.to/RBFFP']",165,18000.0,878,scrap_web_details_image/kerrytachau_profile.png
245,heyclaire,claire marshall she/her,"['ᴄᴏ-ғᴏᴜɴᴅᴇʀ @studio.nous', 'ɴᴇᴡ sᴀᴍᴀʀᴀ x ᴄʟᴀɪʀᴇ ↓', 'bit.ly/3sTybwG']",539,622000.0,571,scrap_web_details_image/heyclaire_profile.png
246,guillaumemabilleau,Guillaume Mabilleau,"['🇫🇷 PATISSIER-DESIGNER 🇫🇷', 'Meilleur Ouvrier de France pâtissier', 'www.illdesign-france.com']",1445,289000.0,478,scrap_web_details_image/guillaumemabilleau_profile.png
247,cosstores,COS,"['Modern, functional, considered design.', 'Share with us @cosstores #cosbyyou', 'likeshop.me/cosstores']",2668,2658000.0,344,scrap_web_details_image/cosstores_profile.png
248,rainkywai,蔚雨芯🌈,"['企業家', 'Artist & Business woman - Lifestyle’s', '· NFT @meowdelnft', '· Founder/CEO @scr.sincera', 'www.sinceraofficial.com']",382,137000.0,888,scrap_web_details_image/rainkywai_profile.png
249,manner__official,微辣Manner,"['藝術與娛樂', '生活的調味 Taste Happiness', '工作接洽：', '📮info@weilamanner.com', '📞+853 62744442', '👏🏻Discord', 'discord.gg/YmEjvK6Gbp']",4576,544000.0,57,scrap_web_details_image/manner__official_profile.png
250,yellowhk_ig,Yellow 野佬,"['marketing@sunnyidea.com', '< Official HashTag : #YellowHK >', 'www.youtube.com/user/YellowMusicHK']",1483,8484.0,156,scrap_web_details_image/yellowhk_ig_profile.png
251,craigdavid,Craig David,"['It’s a Soul thing 💫🔮', 'craigdavid.lnk.to/BioIG']",3071,741000.0,4468,scrap_web_details_image/craigdavid_profile.png
252,ballqueen,Fanny Sieh 薛芷倫,"['公眾人物', '💗 Actress, Socialite, Dame, Entrepreneur, Restaurants owner｜@mott32hk @mott32sg @mott32vegas @mott32van @theaubreyhk @limewoodhk @sipsonghk']",1156,96000.0,451,scrap_web_details_image/ballqueen_profile.png
253,jaer_tattoo,ＳＥＲＧＥＩ ＪＡＥＲ,"['nyc | la | soon', 'jaer.booking@gmail.com', '.', 'tattoo designs: @weedleneedleneedle', '.', '\U0001faa1 @emalla.official']",123,99000.0,696,scrap_web_details_image/jaer_tattoo_profile.png
254,_marimadrid,Mariel Madrid | K&M,"['Director / Choreographer / Dancer / Mama', 'linktr.ee/keoneandmari']",1374,237000.0,351,scrap_web_details_image/_marimadrid_profile.png
255,davezhangphoto,Dave Zhang,"['Photographer ∣ Coffee Lover | Traveller', '@davezhangportraiture']",907,2181.0,726,scrap_web_details_image/davezhangphoto_profile.png
256,sofiee_ng,Sofiee Ng 吳海昕,"['演員', 'Job enquiry: Ms. Lee (91542490)', '🐱 @yeesathebigboss', '🤍 @sofiees.world']",745,119000.0,654,scrap_web_details_image/sofiee_ng_profile.png
257,byeian,伯賴,"['喜劇演員', '😐其實我一啲實力都冇，我係偶像派嘅', '🎬 屌4月19日終於記起密碼', '🌠「一條片是怎麼煉成的」Apr 19th 有屎以來最長嘅一條片👇', 'youtu.be/OSm4dkTjcy8']",918,93000.0,1618,scrap_web_details_image/byeian_profile.png
258,sammi_chengsauman,Sammi Cheng Sau Man,[],5589,843000.0,1895,scrap_web_details_image/sammi_chengsauman_profile.png
259,maanavihomes,Maanavi Homes,"['Customised luxury furniture (also cushions & curtains 💖) for your home. We do not retail single units.🏡', '#MadeinIndia 🧿', '📍Experience Centre : Surat']",781,163000.0,579,scrap_web_details_image/maanavihomes_profile.png
260,foodsearchers,🔎 Food · Travel · Wine Lovers,"['個人部落格', 'Tess & Emilie', '✉foodsearchers@gmail.com', '.', '🧇掃街食到Fine Dine🍽', 'Coffee in mornings☕️ Wine at nights🍷', '#FS米芝蓮系列 🌟 #FSstaycation系列 🏨', '.', 'SOHO east 美食+船河最「豪」攻略 📺', 'www.youtube.com/watch?v=g0JKrnZajrg%3F&utm_source=foodsearchers&utm_medium=igbio&utm_campaign=yachtshooting']",4874,118000.0,1389,scrap_web_details_image/foodsearchers_profile.png
261,jlin7,Jeremy Lin 林書豪,"['To know Him is to want to know Him more', 'reel8.com/linsanity']",780,1926000.0,290,scrap_web_details_image/jlin7_profile.png
262,nozomisasaki_official,佐々木希,"['ワンマイルウェアiNtimité', '@intimite_onemile']",2742,4601000.0,4,scrap_web_details_image/nozomisasaki_official_profile.png
263,malisheep,mali mali,"['作家', 'Akashic Record阿卡西紀錄、', 'Tarot 塔羅咨詢', 'Tg -theanswerislove', '___', '好多有用連結：', 'linktr.ee/Malisheep']",8275,86000.0,2430,scrap_web_details_image/malisheep_profile.png
264,solvilettitusofficial,Solvil et Titus,"['#SolviletTitus was born in 1887, as a symbol of love and romantic expression. We believe that #TimeisLove.', 'www.solvil-et-titus.hk/zh-hant/titus_dragon_ball']",633,11000.0,7,scrap_web_details_image/solvilettitusofficial_profile.png
265,edwinsiu,Edwin Siu,"['公眾人物', 'For work 👍🏼 Kenneth Wong 👍🏼 +852 94979172']",1158,426000.0,257,scrap_web_details_image/edwinsiu_profile.png
266,nwuuu,Nancy Wu 胡定欣,"['有關工作查詢請聯絡', 'Mr. Kenneth Wong 手提:(852)9497 9172', '微信ID: kennethwong221', '電郵:kenneth.wong@shawbrothers.hk', 'Official Fanspage IG: NW.Official', '📷@nw_nphotography', 'facebook.com/wutingyan']",2887,1411000.0,423,scrap_web_details_image/nwuuu_profile.png
267,mytvsuper,myTV SUPER,"['電視網', '訂購myTV Gold，三部裝置同時睇，全家開心Share!', 'bit.ly/3DgVF3K']",4608,54000.0,243,scrap_web_details_image/mytvsuper_profile.png
268,uglykwan,Kelvin Kwan 關楚耀,['🎼📷🚀🌙'],3585,97000.0,1530,scrap_web_details_image/uglykwan_profile.png
269,claudiepierlot,Claudie Pierlot Paris Official,"['Time to celebrate! From big occasions to impromptu get-togethers, enjoy our party capsule:', 'bit.ly/LifeIsACelebration']",614,470000.0,172,scrap_web_details_image/claudiepierlot_profile.png
270,valeriesyw,VALERIE 黃 雪 瑩,"['1號月台主持 / 華盛通特約主持', '04.22 華盛Live chatroom with Calvin link below:', 'www.youtube.com/watch?v=zvvr3moTySY']",360,4545.0,1396,scrap_web_details_image/valeriesyw_profile.png
271,model_sweet02,clover♣️,"['(2017年 12月30日開設)please follow me！！いつもフォロー、いいねありがとうございます！！', 'peing.net/ja/model_love19?event=0']",538,30000.0,86,scrap_web_details_image/model_sweet02_profile.png
272,rona.tsui,🦄Rona Tsui💕徐加晴🌞,"['歌曲:<未來未來>、<短期租約>、<十四天>、<HUG>、<我的時代曲>、<封箱>、 <大概大概>', '☀️加晴粉絲團@rona.officialfansclub💕', '工作聯絡: ronatsuimusic@gmail.com', '新歌<未來未來>👇🏻YouTube 觀看MV', 'youtu.be/7U7lJtNMg0w']",1001,12000.0,1314,scrap_web_details_image/rona.tsui_profile.png
273,c_allstar,C_AllStar,"['HK Vocal Group🎤 官方賬號', '#梁釗峰 @callstarcf', '#陳健安 @on_callstar', '#何建曦 @jaseforreal', '#吳祟銘 @king_c_allstar', 't.me/C_AllStar']",1709,49000.0,283,scrap_web_details_image/c_allstar_profile.png
274,phoebspang,PP 🐰,"['藝術家', 'Stay weird', 'Eating is my talent 🍟']",441,56000.0,815,scrap_web_details_image/phoebspang_profile.png
